"artist","track_title","line","lyric","element","element_artist"
"Daddy Yankee","Cuéntame",1,NA,"Letra de ""Cuéntame""","Daddy Yankee"
"Daddy Yankee","Cuéntame",2,"Nadie te ama como lo hago yo","Intro","Daddy Yankee"
"Daddy Yankee","Cuéntame",3,"Nadie te ama como lo hago yo","Intro","Daddy Yankee"
"Daddy Yankee","Cuéntame",4,"Cuéntame, cuéntame gyal, qué voy a hacer","Coro","Daddy Yankee"
"Daddy Yankee","Cuéntame",5,"Si yo no tengo tu amor y no tengo tu querer","Coro","Daddy Yankee"
"Daddy Yankee","Cuéntame",6,"Cuéntame, cuéntame gyal, qué voy a hacer","Coro","Daddy Yankee"
"Daddy Yankee","Cuéntame",7,"Si yo no tengo tu amor y no tengo tu querer","Coro","Daddy Yankee"
"Daddy Yankee","Cuéntame",8,"Nadie te ama como lo hago yo","Verso 1","Daddy Yankee"
"Daddy Yankee","Cuéntame",9,"Dime lo qué pasó entre tú y yo","Verso 1","Daddy Yankee"
"Daddy Yankee","Cuéntame",10,"Quiero saber cuál es la razón","Verso 1","Daddy Yankee"
"Daddy Yankee","Cuéntame",11,"Que nos tiene tan mal a los dos","Verso 1","Daddy Yankee"
"Daddy Yankee","Cuéntame",12,"Mil escandalos, no tenemos comunicación","Verso 1","Daddy Yankee"
"Daddy Yankee","Cuéntame",13,"Yo me desvivo por ti, gyal","Verso 1","Daddy Yankee"
"Daddy Yankee","Cuéntame",14,"Cuando salimos siempre hay una pelea","Verso 1","Daddy Yankee"
"Daddy Yankee","Cuéntame",15,"Cuando te abrazo sé que no me deseas","Verso 1","Daddy Yankee"
"Daddy Yankee","Cuéntame",16,"¿Será otro amor que ha traído la marea?","Verso 1","Daddy Yankee"
"Daddy Yankee","Cuéntame",17,"Sólo yo sé que hay un cambio en ti, gyal","Verso 1","Daddy Yankee"
"Daddy Yankee","Cuéntame",18,"Cuéntame, cuéntame gyal, qué voy a hacer","Coro","Daddy Yankee"
"Daddy Yankee","Cuéntame",19,"Si yo no tengo tu amor y no tengo tu querer","Coro","Daddy Yankee"
"Daddy Yankee","Cuéntame",20,"Cuéntame, cuéntame gyal, qué voy a hacer","Coro","Daddy Yankee"
"Daddy Yankee","Cuéntame",21,"Si yo no tengo tu amor y no tengo tu querer","Coro","Daddy Yankee"
"Daddy Yankee","Cuéntame",22,"Tú me correspondes","Verso 2","Daddy Yankee"
"Daddy Yankee","Cuéntame",23,"Pero algo me escondes","Verso 2","Daddy Yankee"
"Daddy Yankee","Cuéntame",24,"Te conozco muy bien","Verso 2","Daddy Yankee"
"Daddy Yankee","Cuéntame",25,"Porque soy tu hombre","Verso 2","Daddy Yankee"
"Daddy Yankee","Cuéntame",26,"Tú me correspondes","Verso 2","Daddy Yankee"
"Daddy Yankee","Cuéntame",27,"Pero algo me escondes","Verso 2","Daddy Yankee"
"Daddy Yankee","Cuéntame",28,"Cuéntame, yo soy un hombre","Verso 2","Daddy Yankee"
"Daddy Yankee","Cuéntame",29,"Desapareces el amor que ha sido indispensable","Puente","Daddy Yankee"
"Daddy Yankee","Cuéntame",30,"El amor que tenía un lugar estable","Puente","Daddy Yankee"
"Daddy Yankee","Cuéntame",31,"Será lamentable, yeah","Puente","Daddy Yankee"
"Daddy Yankee","Cuéntame",32,"(Será lamentable)","Puente","Daddy Yankee"
"Daddy Yankee","Cuéntame",33,"Después de haber estado tanto tiempo juntos","Puente","Daddy Yankee"
"Daddy Yankee","Cuéntame",34,"Sólo yo sé una cosa","Puente","Daddy Yankee"
"Daddy Yankee","Cuéntame",35,"(Será lamentable)","Puente","Daddy Yankee"
"Daddy Yankee","Cuéntame",36,"Que será lamentable esta separación","Puente","Daddy Yankee"
"Daddy Yankee","Cuéntame",37,"Cuéntame, cuéntame gyal, qué voy a hacer","Coro","Daddy Yankee"
"Daddy Yankee","Cuéntame",38,"Si yo no tengo tu amor y no tengo tu querer","Coro","Daddy Yankee"
"Daddy Yankee","Cuéntame",39,"Cuéntame, cuéntame gyal, qué voy a hacer","Coro","Daddy Yankee"
"Daddy Yankee","Cuéntame",40,"Si yo no tengo tu amor y no tengo tu querer","Coro","Daddy Yankee"
"Daddy Yankee","Cuéntame",41,"(Nadie te ama como lo hago yo)","Outro","Daddy Yankee"
"Daddy Yankee","Cuéntame",42,"Azota Eliel","Outro","Daddy Yankee"
"Daddy Yankee","Cuéntame",43,"(Nadie te ama como lo hago yo)","Outro","Daddy Yankee"
"Daddy Yankee","Cuéntame",44,"Luny Tunes","Outro","Daddy Yankee"
"Daddy Yankee","Cuéntame",45,"(Nadie te ama como lo hago yo)","Outro","Daddy Yankee"
"Daddy Yankee","Cuéntame",46,"Dímelo Naldo","Outro","Daddy Yankee"
"Daddy Yankee","Cuéntame",47,"(Nadie te ama como lo hago yo)","Outro","Daddy Yankee"
"Daddy Yankee","Cuéntame",48,"Daddy!","Outro","Daddy Yankee"
"Daddy Yankee","Cuéntame",49,"Barrio Fino!","Outro","Daddy Yankee"
"Daddy Yankee","Cuéntame",50,"You know!","Outro","Daddy Yankee"
