"artist","track_title","line","lyric","element","element_artist"
"Daddy Yankee","Dos Mujeres",1,NA,"Letra de ""2 Mujeres""","Daddy Yankee"
"Daddy Yankee","Dos Mujeres",2,"Tú sigues descontrolandome, eh-eeh","Coro 1","Daddy Yankee"
"Daddy Yankee","Dos Mujeres",3,"Peligro, estamos amandonos, oh-ooh","Coro 1","Daddy Yankee"
"Daddy Yankee","Dos Mujeres",4,"¿¡Qué-Qué-Qué-Qué!?","Coro 1","Daddy Yankee"
"Daddy Yankee","Dos Mujeres",5,"Tú sigues descontrolandome, eh-eeh","Coro 1","Daddy Yankee"
"Daddy Yankee","Dos Mujeres",6,"Peligro, estamos amandonos, oh-ooh","Coro 1","Daddy Yankee"
"Daddy Yankee","Dos Mujeres",7,"¿¡Qué-Qué-Qué-Qué!?","Coro 1","Daddy Yankee"
"Daddy Yankee","Dos Mujeres",8,"Una me llama diciendo que soy su vida","Verso 1","Daddy Yankee"
"Daddy Yankee","Dos Mujeres",9,"La otra me llama con llamadas restringidas","Verso 1","Daddy Yankee"
"Daddy Yankee","Dos Mujeres",10,"Para mí las dos son igualmente de bellas","Verso 1","Daddy Yankee"
"Daddy Yankee","Dos Mujeres",11,"No encuentro solución o razón para yo dejarlas","Verso 1","Daddy Yankee"
"Daddy Yankee","Dos Mujeres",12,"Si caigo enfermo en la cama una me cuida","Verso 1","Daddy Yankee"
"Daddy Yankee","Dos Mujeres",13,"La otra en la cama es pasión encendida","Verso 1","Daddy Yankee"
"Daddy Yankee","Dos Mujeres",14,"Una sin condición siempre es mi fiel amiga","Verso 1","Daddy Yankee"
"Daddy Yankee","Dos Mujeres",15,"Y cuando peleo con ella la otra sana mis heridas, por eso","Verso 1","Daddy Yankee"
"Daddy Yankee","Dos Mujeres",16,"Ella me llama restringido","Coro 2","Daddy Yankee"
"Daddy Yankee","Dos Mujeres",17,"Le gusta el placer y el peligro","Coro 2","Daddy Yankee"
"Daddy Yankee","Dos Mujeres",18,"Me llama e intenta lo prohibido","Coro 2","Daddy Yankee"
"Daddy Yankee","Dos Mujeres",19,"A cada rato me mete en un lio","Coro 2","Daddy Yankee"
"Daddy Yankee","Dos Mujeres",20,"Ella me llama restringido","Coro 2","Daddy Yankee"
"Daddy Yankee","Dos Mujeres",21,"Le gusta el placer y el peligro","Coro 2","Daddy Yankee"
"Daddy Yankee","Dos Mujeres",22,"Me llama e intenta lo prohibido","Coro 2","Daddy Yankee"
"Daddy Yankee","Dos Mujeres",23,"A cada rato me mete en un lio","Coro 2","Daddy Yankee"
"Daddy Yankee","Dos Mujeres",24,"Día a día sigo yo con este problemón","Verso 2","Daddy Yankee"
"Daddy Yankee","Dos Mujeres",25,"Pelea tras pelea, discusión tras discusión","Verso 2","Daddy Yankee"
"Daddy Yankee","Dos Mujeres",26,"Estoy buscando la salida pa' esta situación","Verso 2","Daddy Yankee"
"Daddy Yankee","Dos Mujeres",27,"Chica, dime por qué","Verso 2","Daddy Yankee"
"Daddy Yankee","Dos Mujeres",28,"Tú sigues descontrolandome, eh-eeh","Coro 1","Daddy Yankee"
"Daddy Yankee","Dos Mujeres",29,"Peligro, estamos amandonos, oh-ooh","Coro 1","Daddy Yankee"
"Daddy Yankee","Dos Mujeres",30,"¿¡Qué-Qué-Qué-Qué!?","Coro 1","Daddy Yankee"
"Daddy Yankee","Dos Mujeres",31,"Tú sigues descontrolandome, eh-eeh","Coro 1","Daddy Yankee"
"Daddy Yankee","Dos Mujeres",32,"Peligro, estamos amandonos, oh-ooh","Coro 1","Daddy Yankee"
"Daddy Yankee","Dos Mujeres",33,"Una casi no sale, es mujer de su casa","Verso 3","Daddy Yankee"
"Daddy Yankee","Dos Mujeres",34,"La otra sale cuando se le da la gana","Verso 3","Daddy Yankee"
"Daddy Yankee","Dos Mujeres",35,"Una me tiene mal porque con ella vivo","Verso 3","Daddy Yankee"
"Daddy Yankee","Dos Mujeres",36,"La otra hace lo que sea por estar conmigo, por eso","Verso 3","Daddy Yankee"
"Daddy Yankee","Dos Mujeres",37,"Ella me llama restringido","Coro 2","Daddy Yankee"
"Daddy Yankee","Dos Mujeres",38,"Le gusta el placer y el peligro","Coro 2","Daddy Yankee"
"Daddy Yankee","Dos Mujeres",39,"Me llama e intenta lo prohibido","Coro 2","Daddy Yankee"
"Daddy Yankee","Dos Mujeres",40,"A cada rato me mete en un lio","Coro 2","Daddy Yankee"
"Daddy Yankee","Dos Mujeres",41,"Ella me llama restringido","Coro 2","Daddy Yankee"
"Daddy Yankee","Dos Mujeres",42,"Le gusta el placer y el peligro","Coro 2","Daddy Yankee"
"Daddy Yankee","Dos Mujeres",43,"Me llama e intenta lo prohibido","Coro 2","Daddy Yankee"
"Daddy Yankee","Dos Mujeres",44,"A cada rato me mete en un lio","Coro 2","Daddy Yankee"
"Daddy Yankee","Dos Mujeres",45,"Llego de madruga', apago el celular","Verso 4","Daddy Yankee"
