"artist","track_title","line","lyric","element","element_artist"
"Daddy Yankee","El Empuje",1,NA,"Letra de ""El Empuje""","Daddy Yankee"
"Daddy Yankee","El Empuje",2,"¡Rra!","Intro","Daddy Yankee"
"Daddy Yankee","El Empuje",3,"Demente","Intro","Daddy Yankee"
"Daddy Yankee","El Empuje",4,"Mami, ¿tú aguantas el empuje? (Dale Daddy)","Coro 1","Daddy Yankee"
"Daddy Yankee","El Empuje",5,"Mami, ¿tú aguantas el empuje? (Dale Daddy)","Coro 1","Daddy Yankee"
"Daddy Yankee","El Empuje",6,"Mami, ¿tú aguantas el empuje? (Ahh)","Coro 1","Daddy Yankee"
"Daddy Yankee","El Empuje",7,"Que los perros andan sueltos","Coro 1","Daddy Yankee"
"Daddy Yankee","El Empuje",8,"Mami, ¿tú aguantas el empuje? (Dale Daddy)","Coro 1","Daddy Yankee"
"Daddy Yankee","El Empuje",9,"Mami, ¿tú aguantas el empuje? (Dale Daddy)","Coro 1","Daddy Yankee"
"Daddy Yankee","El Empuje",10,"Mami, ¿tú aguantas el empuje?","Coro 1","Daddy Yankee"
"Daddy Yankee","El Empuje",11,"Tira la mano al aire, tira la mano al aire","Coro 1","Daddy Yankee"
"Daddy Yankee","El Empuje",12,"Ma', ven y viaja en mi flow, aquí comando yo","Verso 1","Daddy Yankee"
"Daddy Yankee","El Empuje",13,"Nuevamente a partir el ritmo del dembow","Verso 1","Daddy Yankee"
"Daddy Yankee","El Empuje",14,"Quieres más latigo, te lo doy rapido","Verso 1","Daddy Yankee"
"Daddy Yankee","El Empuje",15,"Es mortal el veneno de mi acido","Verso 1","Daddy Yankee"
"Daddy Yankee","El Empuje",16,"'Tá dura, yo lo sé, 'tá buena, yo lo sé","Verso 1","Daddy Yankee"
"Daddy Yankee","El Empuje",17,"Si te viera te coje de guitarra José","Verso 1","Daddy Yankee"
"Daddy Yankee","El Empuje",18,"Pero guaya to' ese mahon, que te da comezón","Verso 1","Daddy Yankee"
"Daddy Yankee","El Empuje",19,"¿Qué misterio tu guarda' en ese pantalón? (Ahh)","Verso 1","Daddy Yankee"
"Daddy Yankee","El Empuje",20,"Que to' el mundo le quiere dar un voca'o (Ahh)","Verso 1","Daddy Yankee"
"Daddy Yankee","El Empuje",21,"Ese jardin ella lo tiene bien cuida'o (Ahh)","Verso 1","Daddy Yankee"
"Daddy Yankee","El Empuje",22,"Tengo licencia heavy pa' guiar-guiarle yo (Ahh)","Verso 1","Daddy Yankee"
"Daddy Yankee","El Empuje",23,"Ese equipo pesa'o","Verso 1","Daddy Yankee"
"Daddy Yankee","El Empuje",24,"Vamo' rabiosa, tú pide (Dame)","Coro 2","Daddy Yankee"
"Daddy Yankee","El Empuje",25,"Si a ella le gusta, tú dale (Sigue)","Coro 2","Daddy Yankee"
"Daddy Yankee","El Empuje",26,"Pa' que ella se lo vacile (Duro)","Coro 2","Daddy Yankee"
"Daddy Yankee","El Empuje",27,"Perreando todo se vale, eh-eh-eh-eh-eh","Coro 2","Daddy Yankee"
"Daddy Yankee","El Empuje",28,"Tú pide (Dame)","Coro 2","Daddy Yankee"
"Daddy Yankee","El Empuje",29,"Si a ella le gusta, tú dale (Sigue)","Coro 2","Daddy Yankee"
"Daddy Yankee","El Empuje",30,"Pa' que ella se lo vacile (Duro)","Coro 2","Daddy Yankee"
"Daddy Yankee","El Empuje",31,"Perreando todo se vale, eh-eh-eh-eh-eh","Coro 2","Daddy Yankee"
"Daddy Yankee","El Empuje",32,"Las mujeres de hoy en día son independiente'","Verso 2","Daddy Yankee"
"Daddy Yankee","El Empuje",33,"No buscan un incompetente","Verso 2","Daddy Yankee"
"Daddy Yankee","El Empuje",34,"No le hablen de la plancha ni del detergente","Verso 2","Daddy Yankee"
"Daddy Yankee","El Empuje",35,"Aquí nadie le impone a ella los quehacere'","Verso 2","Daddy Yankee"
"Daddy Yankee","El Empuje",36,"Le gusta vacilar toda la noche entera","Verso 2","Daddy Yankee"
"Daddy Yankee","El Empuje",37,"Te vo'a zumbar un poco de mi crema Avena","Verso 2","Daddy Yankee"
"Daddy Yankee","El Empuje",38,"Por que cuando yo canto ella olvida las pena'","Verso 2","Daddy Yankee"
"Daddy Yankee","El Empuje",39,"Mi apellido es Ayala, dueño de esta plena","Verso 2","Daddy Yankee"
"Daddy Yankee","El Empuje",40,"Es que desde mi nacimiento traje la sandunga","Verso 2","Daddy Yankee"
