"artist","track_title","line","lyric","element","element_artist"
"Daddy Yankee","Golpe de Estado",1,NA,"Letra de ""Golpe de Estado"" ft. Tommy Viera","Daddy Yankee"
"Daddy Yankee","Golpe de Estado",2,"(Yankee, saca los fuletes)","Intro","Daddy Yankee, Tommy Viera"
"Daddy Yankee","Golpe de Estado",3,"Daddy! Daddy Yankee!","Intro","Daddy Yankee, Tommy Viera"
"Daddy Yankee","Golpe de Estado",4,"¡El Cangri!","Intro","Daddy Yankee, Tommy Viera"
"Daddy Yankee","Golpe de Estado",5,"(Tommy, saca los fuletes)","Intro","Daddy Yankee, Tommy Viera"
"Daddy Yankee","Golpe de Estado",6,"Presentando a Tommy Viera","Intro","Daddy Yankee, Tommy Viera"
"Daddy Yankee","Golpe de Estado",7,"Yankee, saca los fuletes, nos fuimos algarete","Intro","Daddy Yankee, Tommy Viera"
"Daddy Yankee","Golpe de Estado",8,"(El LeBron James del género)","Intro","Daddy Yankee, Tommy Viera"
"Daddy Yankee","Golpe de Estado",9,"Nelly, saca los fuletes, nos fuimos algarete","Intro","Daddy Yankee, Tommy Viera"
"Daddy Yankee","Golpe de Estado",10,"(Come on, man!)","Intro","Daddy Yankee, Tommy Viera"
"Daddy Yankee","Golpe de Estado",11,"Tommy, saca los fuletes, nos fuimos algarete","Intro","Daddy Yankee, Tommy Viera"
"Daddy Yankee","Golpe de Estado",12,"Luny, saca los fuletes","Intro","Daddy Yankee, Tommy Viera"
"Daddy Yankee","Golpe de Estado",13,"(Come on!)","Intro","Daddy Yankee, Tommy Viera"
"Daddy Yankee","Golpe de Estado",14,"Tommy Viera!","Intro","Daddy Yankee, Tommy Viera"
"Daddy Yankee","Golpe de Estado",15,"Listo con mi batallón, preparense pa'l golpe de estado","Verso 1","Tommy Viera"
"Daddy Yankee","Golpe de Estado",16,"Esta pendeja' termina en rifles y comenz con palos","Verso 1","Tommy Viera"
"Daddy Yankee","Golpe de Estado",17,"No quieren la riña con el indio de los aspectos malos","Verso 1","Tommy Viera"
"Daddy Yankee","Golpe de Estado",18,"Saco, es obligao' que enrreda'o mueran por el criminal","Verso 1","Tommy Viera"
"Daddy Yankee","Golpe de Estado",19,"Viera, lirico que en alto promedio te encampana el grado","Verso 1","Tommy Viera"
"Daddy Yankee","Golpe de Estado",20,"Tiro la intrusión de bombas atomicas que los está matando","Verso 1","Tommy Viera"
"Daddy Yankee","Golpe de Estado",21,"Barrios y caserios, son las calles que está acompañando","Verso 1","Tommy Viera"
"Daddy Yankee","Golpe de Estado",22,"Al incordio majadero del flow que da castigo","Verso 1","Tommy Viera"
"Daddy Yankee","Golpe de Estado",23,"No se duerman, suban de afuera, por la orilla 'e la arena","Verso 1","Tommy Viera"
"Daddy Yankee","Golpe de Estado",24,"Que donde el agua está serena muerden las pirañas","Verso 1","Tommy Viera"
"Daddy Yankee","Golpe de Estado",25,"Mejor ando solo, la pago solo","Verso 1","Tommy Viera"
"Daddy Yankee","Golpe de Estado",26,"Y no confio en nadie mas que en el metal que cargo solo","Verso 1","Tommy Viera"
"Daddy Yankee","Golpe de Estado",27,"Yankee, saca los fuletes, nos fuimos algarete","Coro","Tommy Viera, Daddy Yankee"
"Daddy Yankee","Golpe de Estado",28,"Nelly, saca los fuletes, nos fuimos algarete","Coro","Tommy Viera, Daddy Yankee"
"Daddy Yankee","Golpe de Estado",29,"Tommy, saca los fuletes, nos fuimos algarete","Coro","Tommy Viera, Daddy Yankee"
"Daddy Yankee","Golpe de Estado",30,"Luny, saca los fuletes","Coro","Tommy Viera, Daddy Yankee"
"Daddy Yankee","Golpe de Estado",31,"Yankee, matalos, con ritmo matalos","Coro","Tommy Viera, Daddy Yankee"
"Daddy Yankee","Golpe de Estado",32,"Con flow suenalos, en la disco, y tirame el dembow","Coro","Tommy Viera, Daddy Yankee"
"Daddy Yankee","Golpe de Estado",33,"Se activaron, mis cangris no creen en perdon","Coro","Tommy Viera, Daddy Yankee"
"Daddy Yankee","Golpe de Estado",34,"Suelta bala, guerilla, y tirame el dembow (Daddy!)","Coro","Tommy Viera, Daddy Yankee"
"Daddy Yankee","Golpe de Estado",35,"Tommy, matalos, con ritmo matalos","Coro","Tommy Viera, Daddy Yankee"
"Daddy Yankee","Golpe de Estado",36,"Con flow suenalos, en la disco, y tirame el dembow","Coro","Tommy Viera, Daddy Yankee"
"Daddy Yankee","Golpe de Estado",37,"Se activaron, mis cangris no creen en perdon","Coro","Tommy Viera, Daddy Yankee"
"Daddy Yankee","Golpe de Estado",38,"Suelta bala, guerilla, y tirame el dembow","Coro","Tommy Viera, Daddy Yankee"
"Daddy Yankee","Golpe de Estado",39,"Tommy, saca los fuletes, nos fuimos algarete","Coro","Tommy Viera, Daddy Yankee"
"Daddy Yankee","Golpe de Estado",40,"Nelly, saca los fuletes, nos fuimos algarete","Coro","Tommy Viera, Daddy Yankee"
"Daddy Yankee","Golpe de Estado",41,"Yankee, saca los fuletes, nos fuimos algarete","Coro","Tommy Viera, Daddy Yankee"
"Daddy Yankee","Golpe de Estado",42,"Luny, saca los fuletes","Coro","Tommy Viera, Daddy Yankee"
"Daddy Yankee","Golpe de Estado",43,"Empezo la cazería, diseñate mañana un buen gabán","Verso 2","Daddy Yankee, Tommy Viera"
"Daddy Yankee","Golpe de Estado",44,"Mi caballería abusa más que el imperio alemán","Verso 2","Daddy Yankee, Tommy Viera"
"Daddy Yankee","Golpe de Estado",45,"La alta jerarquía reconocida como Los Cangris","Verso 2","Daddy Yankee, Tommy Viera"
"Daddy Yankee","Golpe de Estado",46,"Salte de la vía que vamos con actos Kamikaze","Verso 2","Daddy Yankee, Tommy Viera"
"Daddy Yankee","Golpe de Estado",47,"Aprendan de esta escuela, que es la más duro que suena","Verso 2","Daddy Yankee, Tommy Viera"
"Daddy Yankee","Golpe de Estado",48,"Salimos contra cualquiera, así que eviten los problemas","Verso 2","Daddy Yankee, Tommy Viera"
"Daddy Yankee","Golpe de Estado",49,"Que hoy en día, aunque no sea noche buena","Verso 2","Daddy Yankee, Tommy Viera"
"Daddy Yankee","Golpe de Estado",50,"Los lechones en la calle con plomo se rellenan","Verso 2","Daddy Yankee, Tommy Viera"
"Daddy Yankee","Golpe de Estado",51,"Impacto, intacto, suelto en el acto","Verso 2","Daddy Yankee, Tommy Viera"
"Daddy Yankee","Golpe de Estado",52,"En canto aplasto a estos que dicen rimar y tener flow","Verso 2","Daddy Yankee, Tommy Viera"
"Daddy Yankee","Golpe de Estado",53,"Rapto y mato, pa' dar sangre al pacto","Verso 2","Daddy Yankee, Tommy Viera"
"Daddy Yankee","Golpe de Estado",54,"Por eso es que no creo en ningun motherfucker","Verso 2","Daddy Yankee, Tommy Viera"
"Daddy Yankee","Golpe de Estado",55,"El más versatil, guerrero de la estamina volatil","Verso 2","Daddy Yankee, Tommy Viera"
"Daddy Yankee","Golpe de Estado",56,"Poner las reglas, entrega'o como Lansky","Verso 2","Daddy Yankee, Tommy Viera"
"Daddy Yankee","Golpe de Estado",57,"Pa' mí esto es como un chamaquito el candy","Verso 2","Daddy Yankee, Tommy Viera"
"Daddy Yankee","Golpe de Estado",58,"Ustedes suenan bien, pero no como Los Cangris","Verso 2","Daddy Yankee, Tommy Viera"
"Daddy Yankee","Golpe de Estado",59,"Tommy, matalos, con ritmo matalos","Coro","Daddy Yankee, Tommy Viera"
"Daddy Yankee","Golpe de Estado",60,"Con flow suenalos, en la disco, y tirame el dembow","Coro","Daddy Yankee, Tommy Viera"
"Daddy Yankee","Golpe de Estado",61,"Se activaron, mis cangris no creen en perdon","Coro","Daddy Yankee, Tommy Viera"
"Daddy Yankee","Golpe de Estado",62,"Suelta bala, guerilla, y tirame el dembow","Coro","Daddy Yankee, Tommy Viera"
"Daddy Yankee","Golpe de Estado",63,"Yankee, matalos, con ritmo matalos","Coro","Daddy Yankee, Tommy Viera"
"Daddy Yankee","Golpe de Estado",64,"Con flow suenalos, en la disco, y tirame el dembow","Coro","Daddy Yankee, Tommy Viera"
"Daddy Yankee","Golpe de Estado",65,"Se activaron, mis cangris no creen en perdon","Coro","Daddy Yankee, Tommy Viera"
"Daddy Yankee","Golpe de Estado",66,"Suelta bala, guerilla, y tirame el dembow","Coro","Daddy Yankee, Tommy Viera"
"Daddy Yankee","Golpe de Estado",67,"Tommy, saca los fuletes, nos fuimos algarete","Coro","Daddy Yankee, Tommy Viera"
"Daddy Yankee","Golpe de Estado",68,"Nelly, saca los fuletes, nos fuimos algarete","Coro","Daddy Yankee, Tommy Viera"
"Daddy Yankee","Golpe de Estado",69,"Yankee, saca los fuletes, nos fuimos algarete","Coro","Daddy Yankee, Tommy Viera"
"Daddy Yankee","Golpe de Estado",70,"Luny, saca los fuletes","Coro","Daddy Yankee, Tommy Viera"
"Daddy Yankee","Golpe de Estado",71,"Tommy Viera!","Outro","Daddy Yankee"
"Daddy Yankee","Golpe de Estado",72,"Los Cangris","Outro","Daddy Yankee"
"Daddy Yankee","Golpe de Estado",73,"Daddy Yankee!","Outro","Daddy Yankee"
"Daddy Yankee","Golpe de Estado",74,"Empezó la presión","Outro","Daddy Yankee"
"Daddy Yankee","Golpe de Estado",75,"You know how we do, man","Outro","Daddy Yankee"
"Daddy Yankee","Golpe de Estado",76,"Sin tituveo, sin juego","Outro","Daddy Yankee"
"Daddy Yankee","Golpe de Estado",77,"A quedarnos con el canto","Outro","Daddy Yankee"
"Daddy Yankee","Golpe de Estado",78,"Tommy Viera!","Outro","Daddy Yankee"
"Daddy Yankee","Golpe de Estado",79,"Daddy Yankee!","Outro","Daddy Yankee"
"Daddy Yankee","Golpe de Estado",80,"Come on!","Outro","Daddy Yankee"
