"artist","track_title","line","lyric","element","element_artist"
"Daddy Yankee","Intro",1,NA,"Letra de ""Intro""","Daddy Yankee"
"Daddy Yankee","Intro",2,"Nací en donde la vida me ha hecho hombre","Intro","Gavilán"
"Daddy Yankee","Intro",3,"Acorrala'o de gente buena","Intro","Gavilán"
"Daddy Yankee","Intro",4,"Entusiasma'o por la idea de ser grande","Intro","Gavilán"
"Daddy Yankee","Intro",5,"Evadiendo el dolor y la pena","Intro","Gavilán"
"Daddy Yankee","Intro",6,"Nací entre calles oscuras, nací en donde vivo","Intro","Gavilán"
"Daddy Yankee","Intro",7,"Nací en donde, sin duda, para mucha gente está prohibido","Intro","Gavilán"
"Daddy Yankee","Intro",8,"Aquí he soña'o con la vida, aquí he juga'o con la suerte","Intro","Gavilán"
"Daddy Yankee","Intro",9,"Aquí la maldad está prohibida, entre nosotros, entre mi gente","Intro","Gavilán"
"Daddy Yankee","Intro",10,"Lo llamo ""barrio"" con orgullo","Intro","Gavilán"
"Daddy Yankee","Intro",11,"Lo llaman ""barrio"" los de afuera","Intro","Gavilán"
"Daddy Yankee","Intro",12,"Y el honor por nacer aquí me lo atribuyo","Intro","Gavilán"
"Daddy Yankee","Intro",13,"Yo que soy quien soy, a mi manera","Intro","Gavilán"
"Daddy Yankee","Intro",14,"De barrio, pero de barrio fino, como mi gente","Intro","Gavilán"
"Daddy Yankee","Intro",15,"Gente que lucha, gente que siente","Intro","Gavilán"
"Daddy Yankee","Intro",16,"Yo no soy de un barrio a la deriva, sin destino","Intro","Gavilán"
"Daddy Yankee","Intro",17,"No, yo soy de barrio, pero de un barrio fino","Intro","Gavilán"
"Daddy Yankee","Intro",18,"Y de ahí nace un joven","Intro","Gavilán"
"Daddy Yankee","Intro",19,"Que no sabía lo que le tenía preparado el destino","Intro","Gavilán"
"Daddy Yankee","Intro",20,"Destino que lo llevó hasta la música","Intro","Gavilán"
"Daddy Yankee","Intro",21,"La cual le ha dado grandes satisfacciones y grandes galardones","Intro","Gavilán"
"Daddy Yankee","Intro",22,"Pero ninguno de ellos tiene tanto significado para él","Intro","Gavilán"
"Daddy Yankee","Intro",23,"Como lo ha sido el cariño y el respeto de su público","Intro","Gavilán"
"Daddy Yankee","Intro",24,"Yankee, usted tiene la última palabra","Intro","Gavilán"
