"artist","track_title","line","lyric","element","element_artist"
"Daddy Yankee","Like You",1,NA,"Letra de ""Like You""","Daddy Yankee"
"Daddy Yankee","Like You",2,"Yo! (Oh)","Intro","Daddy Yankee, May-Be"
"Daddy Yankee","Like You",3,"It's your boy! (Oh)","Intro","Daddy Yankee, May-Be"
"Daddy Yankee","Like You",4,"Daddy Yankee!","Intro","Daddy Yankee, May-Be"
"Daddy Yankee","Like You",5,"All my latinos stand up! (Oh)","Intro","Daddy Yankee, May-Be"
"Daddy Yankee","Like You",6,"Narcando la historia","Intro","Daddy Yankee, May-Be"
"Daddy Yankee","Like You",7,"Caminen conmigo en esta (Ooh-ooh-oh)","Intro","Daddy Yankee, May-Be"
"Daddy Yankee","Like You",8,"Holla back","Intro","Daddy Yankee, May-Be"
"Daddy Yankee","Like You",9,"You know how we do, man!","Intro","Daddy Yankee, May-Be"
"Daddy Yankee","Like You",10,"'Cause you're the only one for me (All I want is a girl like you)","Coro","Naldo"
"Daddy Yankee","Like You",11,"It's the way that you make me feel (All I want is a girl like you)","Coro","Naldo"
"Daddy Yankee","Like You",12,"'Cause you're the only one for me (All I want is a girl like you)","Coro","Naldo"
"Daddy Yankee","Like You",13,"It's the way that you make me feel (All I want is a girl like you)","Coro","Naldo"
"Daddy Yankee","Like You",14,"Straight up you're so bad, baby you hot","Verso 1","Daddy Yankee, May-Be"
"Daddy Yankee","Like You",15,"In the hood you feel the tension when you walk down the block","Verso 1","Daddy Yankee, May-Be"
"Daddy Yankee","Like You",16,"That's the reason you in my head, believe it or not","Verso 1","Daddy Yankee, May-Be"
"Daddy Yankee","Like You",17,"Me and you can run the world like Big Pun and Pac","Verso 1","Daddy Yankee, May-Be"
"Daddy Yankee","Like You",18,"'Cause you my main homie, my main shawty","Verso 1","Daddy Yankee, May-Be"
"Daddy Yankee","Like You",19,"Cock back hammers and bang homie protecting our gauge slowly","Verso 1","Daddy Yankee, May-Be"
"Daddy Yankee","Like You",20,"With a girl like you, forget the nonsense","Verso 1","Daddy Yankee, May-Be"
"Daddy Yankee","Like You",21,"We don't give a fuck about the chicos and gossip (Dile)","Verso 1","Daddy Yankee, May-Be"
"Daddy Yankee","Like You",22,"Daddy Yankee, you shining right now","Verso 1","Daddy Yankee, May-Be"
"Daddy Yankee","Like You",23,"Come on, cap me now, I got this game locked down","Verso 1","Daddy Yankee, May-Be"
"Daddy Yankee","Like You",24,"What you know about big thingsz chrome wheels own deals","Verso 1","Daddy Yankee, May-Be"
"Daddy Yankee","Like You",25,"Me and you holding it down, it's all real, come on!","Verso 1","Daddy Yankee, May-Be"
"Daddy Yankee","Like You",26,"'Cause you're the only one for me (All I want is a girl like you)","Coro","Naldo"
"Daddy Yankee","Like You",27,"It's the way that you make me feel (All I want is a girl like you)","Coro","Naldo"
"Daddy Yankee","Like You",28,"'Cause you're the only one for me (All I want is a girl like you)","Coro","Naldo"
"Daddy Yankee","Like You",29,"It's the way that you make me feel (All I want is a girl like you)","Coro","Naldo"
"Daddy Yankee","Like You",30,"Yo, la negra tiene tumba'o, cuando camina de la'o","Verso 2","Daddy Yankee"
"Daddy Yankee","Like You",31,"Por la calle ocho sin miedo, we be wildin' out","Verso 2","Daddy Yankee"
"Daddy Yankee","Like You",32,"Switching lanes on the freeway, corriendo por miles","Verso 2","Daddy Yankee"
"Daddy Yankee","Like You",33,"A little foreplay, like Bonnie and Clyde en el crimen","Verso 2","Daddy Yankee"
"Daddy Yankee","Like You",34,"Flossing jewels is not a felony","Verso 2","Daddy Yankee"
"Daddy Yankee","Like You",35,"How am I a playa ma'? Do I look like Bill Bellamy?","Verso 2","Daddy Yankee"
"Daddy Yankee","Like You",36,"No te molestes yo soy tuyo na' mas","Verso 2","Daddy Yankee"
"Daddy Yankee","Like You",37,"I'm not a player, I just crush a lot","Verso 2","Daddy Yankee"
"Daddy Yankee","Like You",38,"Come on!","Verso 2","Daddy Yankee"
"Daddy Yankee","Like You",39,"Tú eres la chica ideal para mí (All I want is a girl like you)","Coro","Naldo"
"Daddy Yankee","Like You",40,"Como tú nadie me ha hecho sentir (All I want is a girl like you)","Coro","Naldo"
"Daddy Yankee","Like You",41,"'Cause you're the only one for me (All I want is a girl like you)","Coro","Naldo"
"Daddy Yankee","Like You",42,"It's the way that you make me feel (All I want is a girl like you)","Coro","Naldo"
"Daddy Yankee","Like You",43,"Oh, oh, oh (all I want is a girl like you)","Puente","Naldo, May-be"
"Daddy Yankee","Like You",44,"Oh, oh, oh (All I want is a boy like you)","Puente","Naldo, May-be"
"Daddy Yankee","Like You",45,"Oh, oh, oh (all I want is a girl like you)","Puente","Naldo, May-be"
"Daddy Yankee","Like You",46,"Oh, oh, oh (All I want is a boy like you)","Puente","Naldo, May-be"
"Daddy Yankee","Like You",47,"'Cause you're the only one for me (All I want is a girl like you)","Coro","Naldo"
"Daddy Yankee","Like You",48,"It's the way that you make me feel (All I want is a girl like you)","Coro","Naldo"
"Daddy Yankee","Like You",49,"'Cause you're the only one for me (All I want is a girl like you)","Coro","Naldo"
"Daddy Yankee","Like You",50,"It's the way that you make me feel (All I want is a girl like you)","Coro","Naldo"
"Daddy Yankee","Like You",51,"Yeah!","Outro","Daddy Yankee"
"Daddy Yankee","Like You",52,"All my latinos stand up!","Outro","Daddy Yankee"
"Daddy Yankee","Like You",53,"Caminen conmigo","Outro","Daddy Yankee"
"Daddy Yankee","Like You",54,"Bust the floor, bossing","Outro","Daddy Yankee"
"Daddy Yankee","Like You",55,"Daddy Tankee!","Outro","Daddy Yankee"
"Daddy Yankee","Like You",56,"Barrio fino!","Outro","Daddy Yankee"
"Daddy Yankee","Like You",57,"And I'm proud to be latin, man","Outro","Daddy Yankee"
"Daddy Yankee","Like You",58,"Letting you know who's the real","Outro","Daddy Yankee"
"Daddy Yankee","Like You",59,"King of the Jungle!","Outro","Daddy Yankee"
"Daddy Yankee","Like You",60,"Luny Tunes","Outro","Daddy Yankee"
