"artist","track_title","line","lyric","element","element_artist"
"Daddy Yankee","Lo Que Pasó, Pasó",1,NA,"Letra de ""Lo Que Pasó, Pasó""","Daddy Yankee"
"Daddy Yankee","Lo Que Pasó, Pasó",2,"Ah, ah, dale mambo (Entre tú y yo)","Intro","Daddy Yankee"
"Daddy Yankee","Lo Que Pasó, Pasó",3,"Dale mambo (Daddy)","Intro","Daddy Yankee"
"Daddy Yankee","Lo Que Pasó, Pasó",4,"Son cosas que pasan en el barrio fino","Intro","Daddy Yankee"
"Daddy Yankee","Lo Que Pasó, Pasó",5,"Esa noche contigo la pasé bien, woh-oh","Pre-Coro","Daddy Yankee"
"Daddy Yankee","Lo Que Pasó, Pasó",6,"Pero yo me enteré que te debes a alguien, yeah","Pre-Coro","Daddy Yankee"
"Daddy Yankee","Lo Que Pasó, Pasó",7,"Y tú fallaste, pero ya es tarde","Pre-Coro","Daddy Yankee"
"Daddy Yankee","Lo Que Pasó, Pasó",8,"Y tú fallaste, pero ya es tarde","Pre-Coro","Daddy Yankee"
"Daddy Yankee","Lo Que Pasó, Pasó",9,"Lo que pasó, pasó, entre tú y yo","Coro 1","Daddy Yankee"
"Daddy Yankee","Lo Que Pasó, Pasó",10,"Lo que pasó, pasó, entre tú y yo","Coro 1","Daddy Yankee"
"Daddy Yankee","Lo Que Pasó, Pasó",11,"Lo que pasó, pasó, entre tú y yo","Coro 1","Daddy Yankee"
"Daddy Yankee","Lo Que Pasó, Pasó",12,"Lo que pasó, pasó, entre tú y yo","Coro 1","Daddy Yankee"
"Daddy Yankee","Lo Que Pasó, Pasó",13,"(Daddy!)","Verso","Daddy Yankee"
"Daddy Yankee","Lo Que Pasó, Pasó",14,"Es una asesina, ella conlleva la medicina","Verso","Daddy Yankee"
"Daddy Yankee","Lo Que Pasó, Pasó",15,"Engañadora que te envuelve y te domina","Verso","Daddy Yankee"
"Daddy Yankee","Lo Que Pasó, Pasó",16,"Una abusadora, ella como sabe te devora","Verso","Daddy Yankee"
"Daddy Yankee","Lo Que Pasó, Pasó",17,"Y si no tienes experiencia te enamora","Verso","Daddy Yankee"
"Daddy Yankee","Lo Que Pasó, Pasó",18,"Una especialista, para que te ponga ella a la vista","Verso","Daddy Yankee"
