"artist","track_title","line","lyric","element","element_artist"
"Daddy Yankee","Outro (Esmeralda)",1,NA,"Letra de ""Outro (Esmeralda)""","Daddy Yankee"
"Daddy Yankee","Outro (Esmeralda)",2,"Vamo' a zumbarle con el swing como es","Intro","Daddy Yankee"
"Daddy Yankee","Outro (Esmeralda)",3,"Boricuoso, tú sabes","Intro","Daddy Yankee"
"Daddy Yankee","Outro (Esmeralda)",4,"Tú sabes que yo iba caminando por la calle y choqué con Esmeralda","Verso","Daddy Yankee"
"Daddy Yankee","Outro (Esmeralda)",5,"Que era La Perla del barrio","Verso","Daddy Yankee"
"Daddy Yankee","Outro (Esmeralda)",6,"Su madre se llamaba Manuel A., y su hermana Carola","Verso","Daddy Yankee"
"Daddy Yankee","Outro (Esmeralda)",7,"Cuando la vi fue una Vista Hermosa","Verso","Daddy Yankee"
"Daddy Yankee","Outro (Esmeralda)",8,"Y fui corriendo al Campo Alegre","Verso","Daddy Yankee"
"Daddy Yankee","Outro (Esmeralda)",9,"Recogiendo Lirios, Laureles, Graviola","Verso","Daddy Yankee"
"Daddy Yankee","Outro (Esmeralda)",10,"Amapola, Margarita, Magnolia, en el monte","Verso","Daddy Yankee"
"Daddy Yankee","Outro (Esmeralda)",11,"Al lado de un lago, y al otro lado, Manantiales","Verso","Daddy Yankee"
"Daddy Yankee","Outro (Esmeralda)",12,"Hice Ramos para llevarle a ella y a su familia","Verso","Daddy Yankee"
"Daddy Yankee","Outro (Esmeralda)",13,"Para que después sembraran Las Flores en sus Jardines","Verso","Daddy Yankee"
"Daddy Yankee","Outro (Esmeralda)",14,"Bajando de El Camino me fije en Las Casas de su familia","Verso","Daddy Yankee"
"Daddy Yankee","Outro (Esmeralda)",15,"Eran bien humilde, la de ella hasta tenía una Puerta de Tierra","Verso","Daddy Yankee"
"Daddy Yankee","Outro (Esmeralda)",16,"Pero no me molestaba el Polvorín","Verso","Daddy Yankee"
"Daddy Yankee","Outro (Esmeralda)",17,"Y si de repente me enfermara, llamaria al Doctor Pila","Verso","Daddy Yankee"
"Daddy Yankee","Outro (Esmeralda)",18,"Que vive en tremenda Villa, para que me diera un buen Consejo","Verso","Daddy Yankee"
"Daddy Yankee","Outro (Esmeralda)",19,"No me podia tardar, porque estaba mi socio el Coto como Guaraguao","Verso","Daddy Yankee"
"Daddy Yankee","Outro (Esmeralda)",20,"Merodeando detrás de ella","Verso","Daddy Yankee"
"Daddy Yankee","Outro (Esmeralda)",21,"Pero cuando sintió Brisa y aroma de tantas Flores","Verso","Daddy Yankee"
"Daddy Yankee","Outro (Esmeralda)",22,"Como la de una Rosaleda","Verso","Daddy Yankee"
"Daddy Yankee","Outro (Esmeralda)",23,"Se emociono, y yo me sentí como un hombre ilustre","Verso","Daddy Yankee"
"Daddy Yankee","Outro (Esmeralda)",24,"Como Barbosa, Lloréns, Virgilio, Canales, Lopez Sicardo, y Gautier","Verso","Daddy Yankee"
"Daddy Yankee","Outro (Esmeralda)",25,"Entre por La Puerta, y le dije: ""Sierra Linda""","Verso","Daddy Yankee"
"Daddy Yankee","Outro (Esmeralda)",26,"Pues de momento pensé que podría tener con ella una Buenaventura","Verso","Daddy Yankee"
"Daddy Yankee","Outro (Esmeralda)",27,"Pero ella me dijo: ""No, primero me tienes que llevar a viajar el mundo","Verso","Daddy Yankee"
"Daddy Yankee","Outro (Esmeralda)",28,"Si me llevas a Venezuela, Israel, Shanghai, Vietnám","Verso","Daddy Yankee"
"Daddy Yankee","Outro (Esmeralda)",29,"Y hasto Los Altos de Cuba","Verso","Daddy Yankee"
