"artist","track_title","line","lyric","element","element_artist"
"Daddy Yankee","Saber Su Nombre",1,NA,"Letra de ""Saber Su Nombre""","Daddy Yankee"
"Daddy Yankee","Saber Su Nombre",2,"Daddy Yankee!","Intro","Daddy Yankee"
"Daddy Yankee","Saber Su Nombre",3,"Mata con Matta","Intro","Daddy Yankee"
"Daddy Yankee","Saber Su Nombre",4,"Brand new pa' las mamis en el club","Intro","Daddy Yankee"
"Daddy Yankee","Saber Su Nombre",5,"You know, ajá","Intro","Daddy Yankee"
"Daddy Yankee","Saber Su Nombre",6,"Sola en un esquina ella lo está moviendo","Coro","Daddy Yankee"
"Daddy Yankee","Saber Su Nombre",7,"Rompiendo esas caderas ella me atrajo a mí","Coro","Daddy Yankee"
"Daddy Yankee","Saber Su Nombre",8,"Yo hago lo que sea por saber su nombre","Coro","Daddy Yankee"
"Daddy Yankee","Saber Su Nombre",9,"Una chica como de esas no se deja ir","Coro","Daddy Yankee"
"Daddy Yankee","Saber Su Nombre",10,"Pero ya veo que el sol está saliendo","Coro","Daddy Yankee"
"Daddy Yankee","Saber Su Nombre",11,"Y a donde ella vaya la voy a seguir","Coro","Daddy Yankee"
"Daddy Yankee","Saber Su Nombre",12,"Con sus artimañas me está seduciendo","Coro","Daddy Yankee"
"Daddy Yankee","Saber Su Nombre",13,"Ella tiro la red y yo solo cai","Coro","Daddy Yankee"
"Daddy Yankee","Saber Su Nombre",14,"Dime tu nombre y tu numero de telefono","Post-Coro","Daddy Yankee"
"Daddy Yankee","Saber Su Nombre",15,"Dime dónde vives y tu casa, baby, let me know","Post-Coro","Daddy Yankee"
"Daddy Yankee","Saber Su Nombre",16,"Que me contarán aunque tú no me des a mí el codigo","Post-Coro","Daddy Yankee"
"Daddy Yankee","Saber Su Nombre",17,"Si pruebas de este dulce vas a quedarte","Post-Coro","Daddy Yankee"
"Daddy Yankee","Saber Su Nombre",18,"Yo soy tu rifle y tú la bala que dio en mi corazón","Post-Coro","Daddy Yankee"
"Daddy Yankee","Saber Su Nombre",19,"Para que me mates con ese cuerpo tan solido","Post-Coro","Daddy Yankee"
"Daddy Yankee","Saber Su Nombre",20,"En la guerra y en el amor, mami, todo es valido","Post-Coro","Daddy Yankee"
"Daddy Yankee","Saber Su Nombre",21,"Si pruebas de este dulce vas a quedarte","Post-Coro","Daddy Yankee"
"Daddy Yankee","Saber Su Nombre",22,"(¡Te lo dijo yo!) Ahora me toca a mí darte un duro apreton","Pre-Coro","Daddy Yankee"
"Daddy Yankee","Saber Su Nombre",23,"(¡Chica vamonos!) Para que bailes conmigo este guayacon","Pre-Coro","Daddy Yankee"
"Daddy Yankee","Saber Su Nombre",24,"(¡Dale rapido!) Que el tiempo que se va no vueleve, no que no","Pre-Coro","Daddy Yankee"
"Daddy Yankee","Saber Su Nombre",25,"(¡Tú dices que no!) Pero tu cara dice lo contrario","Pre-Coro","Daddy Yankee"
