"artist","track_title","line","lyric","element","element_artist"
"Daddy Yankee","Sabor A Melao (Remix)",1,NA,"Letra de ""Sabor A Melao (Remix)"" ft. Andy Montañez","Daddy Yankee"
"Daddy Yankee","Sabor A Melao (Remix)",2,"Sabor pa' to'a las mujeres (This is the remix!)","Intro","Andy Montañez, Daddy Yankee"
"Daddy Yankee","Sabor A Melao (Remix)",3,"Que con mi salsa se mueven (¡Dale remix!; Sigue la clave)","Intro","Andy Montañez, Daddy Yankee"
"Daddy Yankee","Sabor A Melao (Remix)",4,"Sabor pa' to'a las mujeres (Dame la clave)","Intro","Andy Montañez, Daddy Yankee"
"Daddy Yankee","Sabor A Melao (Remix)",5,"Que con mi salsa se mueven (Oh-oh)","Intro","Andy Montañez, Daddy Yankee"
"Daddy Yankee","Sabor A Melao (Remix)",6,"Sabor pa' to'a las mujeres (Sigue la clave, dame la clave)","Intro","Andy Montañez, Daddy Yankee"
"Daddy Yankee","Sabor A Melao (Remix)",7,"Que con mi salsa se mueven (Oh-oh; Sigue la clave)","Intro","Andy Montañez, Daddy Yankee"
"Daddy Yankee","Sabor A Melao (Remix)",8,"Sabor pa' to'a las mujeres (Da-ddy!)","Intro","Andy Montañez, Daddy Yankee"
"Daddy Yankee","Sabor A Melao (Remix)",9,"Que con mi salsa se mueven","Intro","Andy Montañez, Daddy Yankee"
"Daddy Yankee","Sabor A Melao (Remix)",10,"Este caballo va suelto sin herradura","Verso 1","Daddy Yankee"
"Daddy Yankee","Sabor A Melao (Remix)",11,"Bateando duro, la clave, el son de la rumba","Verso 1","Daddy Yankee"
"Daddy Yankee","Sabor A Melao (Remix)",12,"Lo mio viene desde la cuna","Verso 1","Daddy Yankee"
"Daddy Yankee","Sabor A Melao (Remix)",13,"Ábrele paso a lo real, que pa' tu mal tengo la cura","Verso 1","Daddy Yankee"
"Daddy Yankee","Sabor A Melao (Remix)",14,"Dale prieta, afinca y aprieta","Verso 1","Daddy Yankee"
"Daddy Yankee","Sabor A Melao (Remix)",15,"Pa' que tú sientas el pique de esta pimienta","Verso 1","Daddy Yankee"
"Daddy Yankee","Sabor A Melao (Remix)",16,"Pa' las blanquitas con flavor de vainilla","Verso 1","Daddy Yankee"
"Daddy Yankee","Sabor A Melao (Remix)",17,"Mueve esa hebilla, que las tengo en la mirilla","Verso 1","Daddy Yankee"
"Daddy Yankee","Sabor A Melao (Remix)",18,"Tú no eres Sammy, chula, no lo bailes sosa","Verso 1","Daddy Yankee"
"Daddy Yankee","Sabor A Melao (Remix)",19,"Mueve tu cuerpo pa' que tú veas cómo gozas","Verso 1","Daddy Yankee"
"Daddy Yankee","Sabor A Melao (Remix)",20,"Pasando el rolo por mucho kilometraje","Verso 1","Daddy Yankee"
"Daddy Yankee","Sabor A Melao (Remix)",21,"Encendi'o mi tigueraje","Verso 1","Daddy Yankee"
"Daddy Yankee","Sabor A Melao (Remix)",22,"Dale de la'o, tú tienes el swing con el sabor a mela'o","Coro","Daddy Yankee"
"Daddy Yankee","Sabor A Melao (Remix)",23,"Este tiguere ahora sí que va acelera'o, pega'o","Coro","Daddy Yankee"
"Daddy Yankee","Sabor A Melao (Remix)",24,"Bailalo conmigo en la esquina, afinca'o","Coro","Daddy Yankee"
"Daddy Yankee","Sabor A Melao (Remix)",25,"¡Mueve mami!","Coro","Daddy Yankee"
"Daddy Yankee","Sabor A Melao (Remix)",26,"Dale de la'o, tú tienes el swing con el sabor a mela'o","Coro","Daddy Yankee"
"Daddy Yankee","Sabor A Melao (Remix)",27,"Este tiguere ahora sí que va acelera'o, pega'o","Coro","Daddy Yankee"
"Daddy Yankee","Sabor A Melao (Remix)",28,"Bailalo conmigo en la esquina, afinca'o","Coro","Daddy Yankee"
"Daddy Yankee","Sabor A Melao (Remix)",29,"¡Dile Andy!","Coro","Daddy Yankee"
"Daddy Yankee","Sabor A Melao (Remix)",30,"Muévete mulata, pero mueve la cintura (Ah-ah)","Post-Coro","Andy Montañez, Daddy Yankee"
"Daddy Yankee","Sabor A Melao (Remix)",31,"Muévete bien suave, ponle sabrosura (Ah-ah, ah, ah-ah)","Post-Coro","Andy Montañez, Daddy Yankee"
