"artist","track_title","line","lyric","element","element_artist"
"Daddy Yankee","Santifica Tus Escapularios",1,NA,"Letra de ""Santifica Tus Escapularios""","Daddy Yankee"
"Daddy Yankee","Santifica Tus Escapularios",2,"No es cuestión de ego","Intro","Daddy Yankee"
"Daddy Yankee","Santifica Tus Escapularios",3,"Solamente hay que ser realista","Intro","Daddy Yankee"
"Daddy Yankee","Santifica Tus Escapularios",4,"(Daddy!)","Intro","Daddy Yankee"
"Daddy Yankee","Santifica Tus Escapularios",5,"Están escuchando uno de los mejores MC","Intro","Daddy Yankee"
"Daddy Yankee","Santifica Tus Escapularios",6,"Que ha bendeci'o el micrófono en la isla, pa'","Intro","Daddy Yankee"
"Daddy Yankee","Santifica Tus Escapularios",7,"(Cangri!)","Intro","Daddy Yankee"
"Daddy Yankee","Santifica Tus Escapularios",8,"Maduro, enfoca'o","Intro","Daddy Yankee"
"Daddy Yankee","Santifica Tus Escapularios",9,"Así me enseñó el barrio","Intro","Daddy Yankee"
"Daddy Yankee","Santifica Tus Escapularios",10,"(Come on!)","Intro","Daddy Yankee"
"Daddy Yankee","Santifica Tus Escapularios",11,"¿De cuándo a acá tú vuelas y llevas una 'S' en el pecho?","Verso 1","Daddy Yankee"
"Daddy Yankee","Santifica Tus Escapularios",12,"Miles bravos como tú los he visto cagando pelo","Verso 1","Daddy Yankee"
"Daddy Yankee","Santifica Tus Escapularios",13,"Manso como paloma, astuto como serpiente, pa'","Verso 1","Daddy Yankee"
"Daddy Yankee","Santifica Tus Escapularios",14,"Así navego yo en la isla de la muerte","Verso 1","Daddy Yankee"
"Daddy Yankee","Santifica Tus Escapularios",15,"You know me, man, Daddy Yankee alias El Cangriman","Verso 1","Daddy Yankee"
"Daddy Yankee","Santifica Tus Escapularios",16,"Con un record bendecido, amén","Verso 1","Daddy Yankee"
"Daddy Yankee","Santifica Tus Escapularios",17,"De 6 producciones, 70 apariciones","Verso 1","Daddy Yankee"
"Daddy Yankee","Santifica Tus Escapularios",18,"Promedio sin igual de 130 canciones","Verso 1","Daddy Yankee"
"Daddy Yankee","Santifica Tus Escapularios",19,"Veterano que por nadie se deja vencer","Verso 1","Daddy Yankee"
"Daddy Yankee","Santifica Tus Escapularios",20,"Con un flow que parece que salí cantando ayer","Verso 1","Daddy Yankee"
"Daddy Yankee","Santifica Tus Escapularios",21,"Acéptalo, suelta el micrófono","Verso 1","Daddy Yankee"
"Daddy Yankee","Santifica Tus Escapularios",22,"Si tú eres un caballo, yo soy el dueño del hipódromo","Verso 1","Daddy Yankee"
"Daddy Yankee","Santifica Tus Escapularios",23,"Comandante que mata en el auditorio","Verso 1","Daddy Yankee"
"Daddy Yankee","Santifica Tus Escapularios",24,"El chef de la química en el laboratorio","Verso 1","Daddy Yankee"
"Daddy Yankee","Santifica Tus Escapularios",25,"Cien gramos de intelecto, nieve pa' la candela","Verso 1","Daddy Yankee"
"Daddy Yankee","Santifica Tus Escapularios",26,"Fuego y hielo pa' la estufa, puño lápiz a la libreta","Verso 1","Daddy Yankee"
"Daddy Yankee","Santifica Tus Escapularios",27,"Sacando el material puro pa' la carretera","Verso 1","Daddy Yankee"
"Daddy Yankee","Santifica Tus Escapularios",28,"Barrio Fino, el cuco de parar tus ventas","Verso 1","Daddy Yankee"
"Daddy Yankee","Santifica Tus Escapularios",29,"No importa lo que eres ni lo grande que tú seas","Verso 1","Daddy Yankee"
"Daddy Yankee","Santifica Tus Escapularios",30,"Los postes son más grandes y los perros los mean","Verso 1","Daddy Yankee"
"Daddy Yankee","Santifica Tus Escapularios",31,"Santifica tus escapularios, te visita El Cangriman","Coro","Daddy Yankee"
"Daddy Yankee","Santifica Tus Escapularios",32,"(Quítate tú pa' ponerme yo)","Coro","Daddy Yankee"
"Daddy Yankee","Santifica Tus Escapularios",33,"Falfulleros como tú los he visto yo en cantidad","Coro","Daddy Yankee"
"Daddy Yankee","Santifica Tus Escapularios",34,"(Quítate tú pa' ponerme yo)","Coro","Daddy Yankee"
"Daddy Yankee","Santifica Tus Escapularios",35,"Aunque le pongas las frutitas a tus dioses, si te vas, te vas","Coro","Daddy Yankee"
"Daddy Yankee","Santifica Tus Escapularios",36,"(Quítate tú pa' ponerme yo)","Coro","Daddy Yankee"
"Daddy Yankee","Santifica Tus Escapularios",37,"Evite moretones caballero, acepte que no es nadie ya","Coro","Daddy Yankee"
"Daddy Yankee","Santifica Tus Escapularios",38,"(Quítate tú pa' ponerme yo)","Coro","Daddy Yankee"
"Daddy Yankee","Santifica Tus Escapularios",39,"Papi, ¿por qué razón tú me tienes tanto odio?","Verso 2","Daddy Yankee"
"Daddy Yankee","Santifica Tus Escapularios",40,"Es que le estoy sacando el jugo a este negocio","Verso 2","Daddy Yankee"
"Daddy Yankee","Santifica Tus Escapularios",41,"No compares un fajón con un tipo que es un vago","Verso 2","Daddy Yankee"
"Daddy Yankee","Santifica Tus Escapularios",42,"La mierda que usted se come yo no soy el que la cago","Verso 2","Daddy Yankee"
"Daddy Yankee","Santifica Tus Escapularios",43,"¿Hasta dónde llega la maldad de ustedes?","Verso 2","Daddy Yankee"
"Daddy Yankee","Santifica Tus Escapularios",44,"No pueden ver que alguien a su la'o progrese","Verso 2","Daddy Yankee"
"Daddy Yankee","Santifica Tus Escapularios",45,"Pero durmiendo tuve esta única visión","Verso 2","Daddy Yankee"
"Daddy Yankee","Santifica Tus Escapularios",46,"Que estaba yo, tabaco en mano, bien jancón","Verso 2","Daddy Yankee"
"Daddy Yankee","Santifica Tus Escapularios",47,"En el balcón, meciéndome en un gran sillón","Verso 2","Daddy Yankee"
"Daddy Yankee","Santifica Tus Escapularios",48,"Jugando con mis nietos en una casa de un millón","Verso 2","Daddy Yankee"
"Daddy Yankee","Santifica Tus Escapularios",49,"Duro como Coco sin necesidad de bastón (Ajá)","Verso 2","Daddy Yankee"
