"artist","track_title","line","lyric","element","element_artist"
"Daddy Yankee","Tu Príncipe",1,NA,"Letra de ""Tu Príncipe"" ft. Zion & Lennox","Daddy Yankee"
"Daddy Yankee","Tu Príncipe",2,"Si tú supieras qué me pasa cada vez que te veo","Verso 1","Zion, Daddy"
"Daddy Yankee","Tu Príncipe",3,"(You know, baby, c'mon, ma')","Verso 1","Zion, Daddy"
"Daddy Yankee","Tu Príncipe",4,"Quisiera confesarte lo que siento y no me atrevo","Verso 1","Zion, Daddy"
"Daddy Yankee","Tu Príncipe",5,"(¿Entiendes lo que te digo ahora, ma'?)","Verso 1","Zion, Daddy"
"Daddy Yankee","Tu Príncipe",6,"Mil emociones me dominan cada vez que te veo","Verso 1","Zion, Daddy"
"Daddy Yankee","Tu Príncipe",7,"Te veo cerca y a la misma vez te siento tan lejos","Verso 1","Zion, Daddy"
"Daddy Yankee","Tu Príncipe",8,"(Azota, Zion! C'mon!)","Verso 1","Zion, Daddy"
"Daddy Yankee","Tu Príncipe",9,"Si tú sintieras lo mismo que yo","Coro 1","Zion, Daddy"
"Daddy Yankee","Tu Príncipe",10,"Estuvieras aquí conmigo","Coro 1","Zion, Daddy"
"Daddy Yankee","Tu Príncipe",11,"Fueras mi novia y yo tu príncipe","Coro 1","Zion, Daddy"
"Daddy Yankee","Tu Príncipe",12,"Ser más allá que un amigo","Coro 1","Zion, Daddy"
"Daddy Yankee","Tu Príncipe",13,"Si tú sintieras lo mismo que yo","Coro 1","Zion, Daddy"
"Daddy Yankee","Tu Príncipe",14,"Estuvieras aquí conmigo","Coro 1","Zion, Daddy"
"Daddy Yankee","Tu Príncipe",15,"Fueras mi novia y yo tu príncipe (Fuimos lejo, pa')","Coro 1","Zion, Daddy"
"Daddy Yankee","Tu Príncipe",16,"Me muero por estar contigo","Coro 1","Zion, Daddy"
"Daddy Yankee","Tu Príncipe",17,"(Yo)","Verso 2","Daddy Yankee"
"Daddy Yankee","Tu Príncipe",18,"Cómo es que yo puedo hacerle","Verso 2","Daddy Yankee"
"Daddy Yankee","Tu Príncipe",19,"Pa' decirle que este hombre se muere","Verso 2","Daddy Yankee"
"Daddy Yankee","Tu Príncipe",20,"Por tenerle, gyal","Verso 2","Daddy Yankee"
"Daddy Yankee","Tu Príncipe",21,"Quiere y a la vez no puede contenerse","Verso 2","Daddy Yankee"
"Daddy Yankee","Tu Príncipe",22,"Y eso a mí me duele","Verso 2","Daddy Yankee"
"Daddy Yankee","Tu Príncipe",23,"Cómo duele, gyal","Verso 2","Daddy Yankee"
"Daddy Yankee","Tu Príncipe",24,"No hay nada malo, malo, en darle calor, calor","Coro 2","Daddy Yankee"
"Daddy Yankee","Tu Príncipe",25,"Apenas tú puedas ver, todo lo que por ti siento","Coro 2","Daddy Yankee"
"Daddy Yankee","Tu Príncipe",26,"Me tienes loco mujer, no digo que no quiero","Coro 2","Daddy Yankee"
"Daddy Yankee","Tu Príncipe",27,"La cura de mi querer tú eres y no lo sabes","Coro 2","Daddy Yankee"
"Daddy Yankee","Tu Príncipe",28,"Sencillo, easy, no dejaré que nadie en mi lugar guise","Coro 2","Daddy Yankee"
"Daddy Yankee","Tu Príncipe",29,"Tú, mi matadora, que mi vida roba","Coro 2","Daddy Yankee"
"Daddy Yankee","Tu Príncipe",30,"No lo digo en broma, dime, ¿qué paso, ma'?","Coro 2","Daddy Yankee"
"Daddy Yankee","Tu Príncipe",31,"Si tú sintieras lo mismo que yo","Coro 1","Zion"
"Daddy Yankee","Tu Príncipe",32,"Estuvieras aquí conmigo","Coro 1","Zion"
"Daddy Yankee","Tu Príncipe",33,"Fueras mi novia y yo tu príncipe","Coro 1","Zion"
"Daddy Yankee","Tu Príncipe",34,"Ser más allá que un amigo","Coro 1","Zion"
"Daddy Yankee","Tu Príncipe",35,"Si tú sintieras lo mismo que yo","Coro 1","Zion"
"Daddy Yankee","Tu Príncipe",36,"Estuvieras aquí conmigo","Coro 1","Zion"
"Daddy Yankee","Tu Príncipe",37,"Fueras mi novia y yo tu príncipe","Coro 1","Zion"
"Daddy Yankee","Tu Príncipe",38,"Me muero por estar contigo","Coro 1","Zion"
"Daddy Yankee","Tu Príncipe",39,"Busco, mami, cómo decirte lo que por ti siento","Verso 3","Lennox"
"Daddy Yankee","Tu Príncipe",40,"No tenerte sigue causándome sufrimiento","Verso 3","Lennox"
"Daddy Yankee","Tu Príncipe",41,"Pero si me vieras con los ojos que te veo","Verso 3","Lennox"
"Daddy Yankee","Tu Príncipe",42,"Fueras mi Julieta y yo por siempre tu Romeo","Verso 3","Lennox"
"Daddy Yankee","Tu Príncipe",43,"Quiero tenerte aquí, mi nena, en una noche serena","Verso 3","Lennox"
